HASH(0x1d198a8)	HASH(0x1d198b4)	HASH(0x1d198f0)	HASH(0x1d1992c)	HASH(0x1d19968)
"I neutre"	"I neutral"	"I neutral"	HASH(0x1e235e4)	"I neutra"
"I1"	"I1"	"I1"	HASH(0x1e23818)	"I1"
"I2"	"I2"	"I2"	HASH(0x1e23a4c)	"I2"
"I3"	"I3"	"I3"	HASH(0x1e23c80)	"I3"
"Id CC"	"Id CC"	"Id CC"	HASH(0x1e23eb4)	"Id CC"
"In"	"In"	"In"	HASH(0x1e27c94)	"In"
"Incompatibilité avec le type de produit"	"Not compatible with the type of product"	"Nicht kompatibles Produkt"	HASH(0x1e27ec8)	"Non compatibile con il tipo di prodotto"
"Incompatilité avec les cartes options"	"Not compatible with the option boards"	"Nicht kompatible Optionen"	HASH(0x1e280fc)	"Non compatibile con la scheda opzionale"
"Inconnu"	"Unknown"	"Unbekannt"	HASH(0x1e28330)	"Sconosciuto"
"Infos produit"	"Product Infos"	"Produkteinfo"	HASH(0x1e28564)	"Info prodotto"
"kVA"	"kVA"	"kVA"	HASH(0x1e28798)	"kVA"
"kVAh"	"kVAh"	"kVAh"	HASH(0x1e289cc)	"kVAh"
"kvar"	"kvar"	"kvar"	HASH(0x1e28c00)	"kvar"
"kvarh"	"kvarh"	"kvarh"	HASH(0x1dd0e50)	"kvarh"
"kW"	"kW"	"kW"	HASH(0x1dd1084)	"kW"
"kWh"	"kWh"	"kWh"	HASH(0x1dd12b8)	"kWh"
"La période d'utilisation de la version de démonstration est terminée."	"Demo version license expired"	"Demolizenz abgelaufen"	HASH(0x1e2f67c)	"Versione demo scaduta"
"Label"	"Label"	"Bezeichnung"	HASH(0x1e2f8b0)	"Etichetta"
"le produit TP primaire * TC primaire doit toujours être inférieur à 693 M"	HASH(0x1e2fa48)	HASH(0x1e2fa84)	HASH(0x1e2fae4)	HASH(0x1e2fb20)
"Lecture du port de communication impossible"	"Reading of the communication port impossible"	"Lesen vom Kommunikationsanschluss unmöglich"	HASH(0x1e2fcac)	"Lettura da porta di comunicazione impossibile"
"Lecture état du port de communication impossible"	"Communication port status reading impossible"	"Lesen vom Kommunikationsanschluss unmöglich"	HASH(0x1e2fee0)	"Lettura stato porta di comunicazione impossibile"
"ligne Occupé"	"line busy"	"Leitung belegt"	HASH(0x1e30114)	HASH(0x1e30174)
"Logiciel de configuration"	"Setting software"	"Einstellung Software"	HASH(0x1e30324)	"Configurazione software!"
"Logiciel de transfert et de visualisation des données"	"Data transfer and viewing software"	"Datentransfer und Visualisierung"	HASH(0x1e30558)	"Software di visione trasferimento dati"
"mailto:info@enerdis.fr"	"mailto:export@enerdis.fr"	"mailto:export@enerdis.fr"	"mailto:export@enerdis.fr"	"mailto:export@enerdis.fr"
"Max"	"Max"	"Max"	HASH(0x1e34710)	"Max"
"maxima moyen"	"maxima average"	"Maximalwert"	HASH(0x1e34944)	"Media massima"
"maxima"	"maxima"	"Max"	HASH(0x1e34b78)	"Massima"
"Mémoire PC insuffisante"	"Insufficient PC memory"	"Nicht genügend PC Speicher"	HASH(0x1e34dac)	"Memoria PC insufficente"
"Min"	"Min"	"Min"	HASH(0x1e34fe0)	"Min"
"Minima moyen"	"Minima average"	"Minimalwert"	HASH(0x1e35214)	"Media minima"
"minima"	"minima"	"Min"	HASH(0x1e39084)	"minima"
"Minima"	"Minima"	"Min"	HASH(0x1e392b8)	"Minima"
"Modbus erreur Appareil absent"	"ModBus error terminal not present"	"ModBus-Fehler: kein Terminal"	HASH(0x1e394ec)	HASH(0x1e3954c)
"Modbus erreur chemin inconnu"	"Unknown path ModBus error"	"ModBus-Fehler: unbekannter Pfad"	HASH(0x1e396fc)	HASH(0x1e3975c)
"ModBus/Jbus erreur inconnue"	"Unknown ModBus/Jbus error"	"Unbekannter ModBus/JBus-Fehler"	HASH(0x1e3990c)	HASH(0x1e3996c)
"Modem distant raccroché"	"Remote modem hanged up"	"Empfänger-Modem hat aufgelegt"	HASH(0x1e39b1c)	HASH(0x1e39b7c)
"Modification du mode d'éxécution"	"Running mode modification"	"Status änderung"	HASH(0x1e39d2c)	"Modifica modalità di esecuzione"
"Moy. Générateur"	"Avr Generator"	"Mittelwert Abgabe"	HASH(0x1e3daac)	"Med. Generatore"
"Moy. Récepteur"	"Avr Receiver"	"Mittelwert Bezug"	HASH(0x1e3dce0)	"Med. Ricevitore"
"Moyenne Cos phi t générateur"	"Average Cos phi t generator"	"Mittelwert Abgabe Cos phi t"	HASH(0x1e3df14)	"Media CosPhi t generatore"
"Moyenne Cos phi t récepteur"	"Average Cos phi t receiver"	"Mittelwert Bezug Cos phi t"	HASH(0x1e3e148)	"Media CosPhi t ricevitore"
"Moyenne Cos phi1 générateur"	"Average Cos phi1 generator"	"Mittelwert Cos phi1 Abgabe"	HASH(0x1e3e37c)	"Media CosPhi1 generatore"
"Moyenne Cos phi1 récepteur"	"Average Cos phi1 receiver"	"Mittelwert Cos phi1 Bezug"	HASH(0x1e3e5b0)	"Media CosPhi1 ricevitore"
"Moyenne Cos phi2 générateur"	"Average Cos phi2 generator"	"Mittelwert Cos phi2 Abgabe"	HASH(0x1e3e7e4)	"Media CosPhi2 generatore"
"Moyenne Cos phi2 récepteur"	"Average Cos phi2 receiver"	"Mittelwert Cos phi2 Bezug"	HASH(0x1e416ac)	"Media CosPhi2 ricevitore"
"Moyenne Cos phi3 générateur"	"Average Cos phi3 generator"	"Mittelwert Cos phi3 Abgabe"	HASH(0x1e418e0)	"Media CosPhi3 generatore"
"Moyenne Cos phi3 récepteur"	"Average Cos phi3 receiver"	"Mittelwert Cos phi3 Bezug"	HASH(0x1e41b14)	"Media CosPhi3 ricevitore"
"Moyenne Facteur de crête I1"	"Average Peak factor I1"	"Mittelwert Peak Faktor I1"	HASH(0x1e41d48)	"Media fattore di cresta I1"
"Moyenne Facteur de crête I2"	"Average Peak factor I2"	"Mittelwert Peak Faktor I2"	HASH(0x1e41f7c)	"Media fattore di cresta I2"
"Moyenne Facteur de crête I3"	"Average Peak factor I3"	"Mittelwert Peak Faktor I3"	HASH(0x1e421b0)	"Media fattore di cresta I3"
"Moyenne Facteur de crête V1"	"Average Peak factor V1"	"Mittelwert Peak Faktor V1"	HASH(0x1e423e4)	"Media fattore di cresta V1"
"Moyenne Facteur de crête V2"	"Average Peak factor V2"	"Mittelwert Peak Faktor V2"	HASH(0x1e42618)	"Media fattore di cresta V2"
"Moyenne Facteur de crête V3"	"Average Peak factor V3"	"Mittelwert Peak Faktor V3"	HASH(0x1e47580)	"Media fattore di cresta V3"
"Moyenne FP1 générateur"	"Average PF1 generator"	"Mittelwert PF1 Abgabe"	HASH(0x1e477b4)	"Media FC1 generatore"
"Moyenne FP1 récepteur"	"Average PF1 receiver"	"Mittelwert PF1 Bezug"	HASH(0x1e479e8)	"Media FC1 ricevitore"
"Moyenne FP2 générateur"	"Average PF2 generator"	"Mittelwert PF2 Abgabe"	HASH(0x1e47c1c)	"Media FC2 generatore"
"Moyenne FP2 récepteur"	"Average PF2 receiver"	"Mittelwert PF2 Bezug"	HASH(0x1e47e50)	"Media FC2 ricevitore"
"Moyenne FP3 générateur"	"Average PF3 generator"	"Mittelwert PF3 Abgabe"	HASH(0x1e48084)	"Media FC3 generatore"
"Moyenne FP3 récepteur"	"Average PF3 receiver"	"Mittelwert PF3 Bezug"	HASH(0x1e482b8)	"Media FC3 ricevitore"
"Moyenne FPt générateur"	"Average PFt generator"	"Mittelwert PFt Abgabe"	HASH(0x1e4b1d8)	"Media FCt generatore"
"Moyenne FPt récepteur"	"Average PFt receiver"	"Mittelwert PFt Bezug"	HASH(0x1e4b40c)	"Media FCt ricevitore"
"Moyenne Fréquence"	"Average frequency"	"Mittelwert Frequenz"	HASH(0x1e4b640)	"Media frequenza"
"Moyenne I1"	"Average I1"	"Mittelwert I1"	HASH(0x1e4b874)	"Media I1"
"Moyenne I2"	"Average I2"	"Mittelwert I2"	HASH(0x1e4baa8)	"Media I2"
"Moyenne I3"	"Average I3"	"Mittelwert I3"	HASH(0x1e4bcdc)	"Media I3"
"Moyenne In"	"Average In"	"Mittelwert In"	HASH(0x1e4bf10)	"Media In"
"Moyenne P1 générateur"	"Average P1 generator"	"Mittelwert P1 Abgabe"	HASH(0x1e4fd08)	"Media P1 generatore"
"Moyenne P1 récepteur"	"Average P1 receiver"	"Mittelwert P1 Bezug"	HASH(0x1e4ff3c)	"Media P1 ricevitore"
"Moyenne P2 générateur"	"Average P2 generator"	"Mittelwert P2 Abgabe"	HASH(0x1e50170)	"Media P2 generatore"
"Moyenne P2 récepteur"	"Average P2 receiver"	"Mittelwert P2 Bezug"	HASH(0x1e503a4)	"Media P2 ricevitore"
"Moyenne P3 générateur"	"Average P3 generator"	"Mittelwert P3 Abgabe"	HASH(0x1e505d8)	"Media P3 generatore"
"Moyenne P3 récepteur"	"Average P3 receiver"	"Mittelwert P3 Bezug"	HASH(0x1e5080c)	"Media P3 ricevitore"
"Moyenne Pt générateur"	"Average Pt generator"	"Mittelwert Pt Abgabe"	HASH(0x1e50a40)	"Media Pt generatore"
"Moyenne Pt récepteur"	"Average Pt receiver"	"Mittelwert Pt Bezug"	HASH(0x1e53940)	"Media Pt ricevitore"
"Moyenne Qt générateur"	"Average Qt generator"	"Mittelwert Qt Abgabe"	HASH(0x1e53b74)	"Media Qt generatore"
"Moyenne Qt récepteur"	"Average Qt receiver"	"Mittelwert Qt Bezug"	HASH(0x1e53da8)	"Media Qt ricevitore"
"Moyenne St"	"Average St"	"Mittelwert St"	HASH(0x1e53fdc)	"Media St"
"Moyenne THD I1"	"Average THD I1"	"Mittelwert THD I1"	HASH(0x1e54210)	"Media THD I1"
"Moyenne THD I2"	"Average THD I2"	"Mittelwert THD I2"	HASH(0x1e54444)	"Media THD I2"
"Moyenne THD I3"	"Average THD I3"	"Mittelwert THD I3"	HASH(0x1e54678)	"Media THD I3"
"Moyenne THD U12"	"Average THD U12"	"Mittelwert THD U12"	HASH(0x1e584e0)	"Media THD U12"
"Moyenne THD U23"	"Average THD U23"	"Mittelwert THD U23"	HASH(0x1e58714)	"Media THD U23"
"Moyenne THD U31"	"Average THD U31"	"Mittelwert THD U31"	HASH(0x1e58948)	"Media THD U31"
"Moyenne THD V1"	"Average THD V1"	"Mittelwert THD V1"	HASH(0x1e58b7c)	"Media THD V1"
"Moyenne THD V2"	"Average THD V2"	"Mittelwert THD V2"	HASH(0x1e58db0)	"Media THD V2"
"Moyenne THD V3"	"Average THD V3"	"Mittelwert THD V3"	HASH(0x1e58fe4)	"Media THD V3"
"Moyenne U12"	"Average U12"	"Mittelwert U12"	HASH(0x1e59218)	"Media U12"
"Moyenne U23"	"Average U23"	"Mittelwert U23"	HASH(0x1e5944c)	"Media U23"
"Moyenne U31"	"Average U31"	"Mittelwert U31"	HASH(0x1e5d214)	"Media U31"
"Moyenne V1"	"Average V1"	"Mittelwert V1"	HASH(0x1e5d448)	"Media V1"
"Moyenne V2"	"Average V2"	"Mittelwert V2"	HASH(0x1e5d67c)	"Media V2"
"Moyenne V3"	"Average V3"	"Mittelwert V3"	HASH(0x1e5d8b0)	"Media V3"
"Moyenne"	"Average"	"Mittelwert"	HASH(0x1e5dae4)	"Media"
"N° Alarme"	"N° Alarm"	"N° Alarm"	HASH(0x1e5dd18)	"Allarme n°"
"NF"	"NC"	"NC"	HASH(0x1e5df4c)	"NC"
"Niveau"	"Level"	"Level"	HASH(0x1e60c64)	"Livello"
"NO"	"NO"	"NO"	HASH(0x1e60e98)	"NO"
"Nouveau canal"	"New channel"	"Neuer Kanal"	HASH(0x1e610cc)	"Nuovo canale"
"Nouveau dossier"	"New folder"	"Neuer Ordner"	HASH(0x1e61300)	"Nuova cartella"
"Nouvel appareil"	"New equipment"	"Neues Gerät"	HASH(0x1e61534)	"Nuovo apparcchio"
"Numérotation en cours"	"Dialing in progress" 	"Wählvorgang läuft"	HASH(0x1e61768)	HASH(0x1e617c8)
"Off"	"Off"	"Off"	HASH(0x1e61978)	"Off"
"OK"	"OK"	"OK"	HASH(0x1e66700)	HASH(0x1e66760)
"On"	"On"	"On"	HASH(0x1e66910)	"On"
"OU"	"OU"	"ODER"	HASH(0x1e66b44)	"OU"
"Ouvert"	"Open"	"Offen"	HASH(0x1e66d78)	"Aperto"
"Ouverture port de communication impossible"	"Communication port opening impossible"	"Kommunikation nicht bereit"	HASH(0x1e66fac)	"Apertura della porta di comunicazione impossibile"
"P-"	"P-"	"P-"	HASH(0x1e671e0)	"P-"
"P+"	"P+"	"P+"	HASH(0x1e67414)	"P+"
"P1 générateur"	"P1 generator"	"P1 Ausgang"	HASH(0x1e6a1bc)	"P1 generatore"
"P1 récepteur"	"P1 receiver"	"P1 Eingang"	HASH(0x1e6a3f0)	"P1 ricevitore"
"P1"	"P1"	"P1"	HASH(0x1e6a624)	"P1"
"P2 générateur"	"P2 generator"	"P2 Ausgang"	HASH(0x1e6a858)	"P2 generatore"
"P2 récepteur"	"P2 receiver"	"P2 Eingang"	HASH(0x1e6aa8c)	"P2 ricevitore"
"P2"	"P2"	"P2"	HASH(0x1e6acc0)	"P2"
"P3 générateur"	"P3 generator"	"P3 Ausgang"	HASH(0x1e6aef4)	"P3 generatore"
"P3 récepteur"	"P3 receiver"	"P3 Eingang"	HASH(0x1e6b128)	"P3 ricevitore"
"P3"	"P3"	"P3"	HASH(0x1e6eeb8)	"P3"
"Parité impaire"	"Parity odd"	"Parität ungleich"	HASH(0x1e6f0ec)	"Parità dispari"
"Parité paire"	"Parity even"	"Parität gleich"	HASH(0x1e6f320)	"Parità pari"
"Perte synchronisation horaire"	"Loss of time Synchronisation"	"Zeitsynchronisation nicht ok"	HASH(0x1e6f554)	HASH(0x1e6f5b4)
"Port de communication fermé"	"Communication port closed"	"Kommunikation geschlossen"	HASH(0x1e6f764)	"Porta di comunicazione chiusa"
"Port de communication non défini"	"Communication port not defined"	"Kommunikation nicht definiert"	HASH(0x1e6f998)	"Porta di comunicazione non definita"
"Problème carte Alim."	"Power supply board failure"	"Fehler Stromversorgung"	HASH(0x1e6fbcc)	"Errore scheda di alimentazione"
"Problème carte Com."	"Com. board failure"	"Kommunikationsfehler"	HASH(0x1e739dc)	"Errore scheda Com"
"Problème carte entrée TOR."	"binary input board failure"	"Fehler binärer Ausgang"	HASH(0x1e73c10)	"Errore scheda ingresso digitale"
"Problème carte sortie ANA."	"Analog output board failure"	"Fehler analoger Ausgang"	HASH(0x1e73e44)	"Errore scheda uscita analogica"
"Problème carte sortie TOR."	"Binary output board failure"	"Fehler binärer Ausgang"	HASH(0x1e74078)	"Errore scheda uscita digitale"
"Problème sur carte IHM"	"MMI board failure"	"Fehler MMI"	HASH(0x1e742ac)	"Errore scheda MMI"
"Pt générateur"	"Pt generator"	"Pt Abgabe"	HASH(0x1e744e0)	"Pt generatore"
"Pt récepteur"	"Pt receiver"	"Pt Bezug"	HASH(0x1e74714)	"Pt ricevitore"
"Pt"	"Pt"	"Pt"	HASH(0x1e78584)	"Pt"
"Puissances Moyennes"	"Powers Averages"	"Strom Mittelwerte"	HASH(0x1e787b8)	"Potenza media"
"Puissances"	"Powers"	"Strom"	HASH(0x1e789ec)	"Potenza"
"Q1 générateur"	"Q1 generator"	"Q1 Abgabe"	HASH(0x1e78c20)	"Q1 generatore"
"Q1 récepteur"	"Q1 receiver"	"Q1 Bezug"	HASH(0x1e78e54)	"Q1 ricevitore"
"Q1"	"Q1"	"Q1"	HASH(0x1e79088)	"Q1"
"Q2 générateur"	"Q2 generator"	"Q2 Abgabe"	HASH(0x1e792bc)	"Q2 generatore"
"Q2 récepteur"	"Q2 receiver"	"Q2 Bezug"	HASH(0x1e7c06c)	"Q2 ricevitore"
"Q2"	"Q2"	"Q2"	HASH(0x1e7c2a0)	"Q2"
"Q3 générateur"	"Q3 generator"	"Q3 Abgabe"	HASH(0x1e7c4d4)	"Q3 generatore"
"Q3 récepteur"	"Q3 receiver"	"Q3 Bezug"	HASH(0x1e7c708)	"Q3 ricevitore"
"Q3"	"Q3"	"Q3"	HASH(0x1e7c93c)	"Q3"
"Q4"	"Q4"	"Q4"	HASH(0x1e7cb70)	"Q4"
"Qt générateur"	"Qt generator"	"Qt Abgabe"	HASH(0x1e7cda4)	"Qt generatore"
"Qt récepteur"	"Qt receiver"	"Qt Bezug"	HASH(0x1e7cfd8)	"Qt ricevitore"
"Qt"	"Qt"	"Qt"	HASH(0x1e80d68)	"Qt"
"Rang Max."	"Order Max."	"Reihe Max."	HASH(0x1e80f9c)	"Ordine Max."
"Récepteur"	"Receiver"	"Bezug"	HASH(0x1e811d0)	"Ricevitore"
"Rechercher"	"Scan"	"Suchen"	HASH(0x1e81404)	"Scansione"
"Remarque"	"Comment"	"Bemerkung"	HASH(0x1e81638)	"Commento"
"Reseaux"	"Networks"	"Netzwerk"	HASH(0x1e8186c)	"Rete"
"S"	"S"	"S"	HASH(0x1e81aa0)	"S"
"S-"	"S-"	"S-"	HASH(0x1e847a8)	"S-"
"S+"	"S+"	"S+"	HASH(0x1e849dc)	"S+"
"S1"	"S1"	"S1"	HASH(0x1e84c10)	"S1"
"S2"	"S2"	"S2"	HASH(0x1e84e44)	"S2"
"S3"	"S3"	"S3"	HASH(0x1e85078)	"S3"
"Sans arrêt (buffer tournant)"	"FIFO mode"	"FIFO Modus"	HASH(0x1e852ac)	"Modo FIFO"
"Sans parité"	"No parity"	"Keine Parität"	HASH(0x1e854e0)	"Nessuna parità"
"Sans"	"Without"	"Ohne"	HASH(0x1e8a288)	"Senza"
"Saturation basse"	"Saturation low"	"Helligkeit -"	HASH(0x1e8a4bc)	"Saturazione bassa"
"Saturation haute"	"Saturation high"	"Helligkeit +"	HASH(0x1e8a6f0)	"Saturazione alta"
"Saturation"	"Saturation"	"Helligkeit"	HASH(0x1e8a924)	"Saturazione"
"Set-up software"	"Set-up software"	"Einstellungen Software"	HASH(0x1e8ab58)	"Configurazione Software"
"Seuil"	"threshold"	"Schwelle"	HASH(0x1e8ad8c)	"soglia"
"Slot A voie 1"	"Slot A channel 1"	"Slot A Kanal 1"	HASH(0x1e8afc0)	"Slot A canale 1"
"Slot A voie 2"	"Slot A channel 2"	"Slot A Kanal 2"	HASH(0x1e8dce8)	"Slot A canale 2"
"Slot A"	"Slot A"	"Slot A"	HASH(0x1e8df1c)	"Slot A"
"Slot A, voie 1"	"Slot A, channel 1"	"Slot A, Kanal 1"	HASH(0x1e8e150)	"Slot A canale 1"
"Slot A, voie 2"	"Slot A, channel 2"	"Slot A, Kanal 2"	HASH(0x1e8e384)	"Slot A canale 2"
"Slot B voie 1"	"Slot B channel 1"	"Slot B Kanal 1"	HASH(0x1e8e5b8)	"Slot B canale 1"
"Slot B voie 2"	"Slot B channel 2"	"Slot B Kanal 2"	HASH(0x1e8e7ec)	"Slot B canale 2"
"Slot B"	"Slot B"	"Slot B"	HASH(0x1e8ea20)	"Slot B"
"Slot B, voie 1"	"Slot B, channel 1"	"Slot B, Kanal 1"	HASH(0x1e927c8)	"Slot B canale 1"
"Slot B, voie 2"	"Slot B, channel 2"	"Slot B, Kanal 2"	HASH(0x1e929fc)	"Slot B canale 2"
"Slot C voie 1"	"Slot C channel 1"	"Slot C Kanal 1"	HASH(0x1e92c30)	"Slot C canale 1"
"Slot C voie 2"	"Slot C channel 2"	"Slot C Kanal 2"	HASH(0x1e92e64)	"Slot C canale 2"
"Slot C"	"Slot C"	"Slot C"	HASH(0x1e93098)	"Slot C"
"Slot C, voie 1"	"Slot C, channel 1"	"Slot C, Kanal 1"	HASH(0x1e932cc)	"Slot C canale 1"
"Slot C, voie 2"	"Slot C, channel 2"	"Slot C, Kanal 2"	HASH(0x1e93500)	"Slot C canale 2"
"Slot D voie 1"	"Slot D channel 1"	"Slot D Kanal 1"	HASH(0x1e93734)	"Slot D canale 1"
"Slot D voie 2"	"Slot D channel 2"	"Slot D Kanal 2"	HASH(0x1e974b4)	"Slot D canale 2"
"Slot D"	"Slot D"	"Slot D"	HASH(0x1e976e8)	"Slot D"
"Slot D, voie 1"	"Slot D, channel 1"	"Slot D, Kanal 1"	HASH(0x1e9791c)	"Slot D canale 1"
"Slot D, voie 2"	"Slot D, channel 2"	"Slot D, Kanal 2"	HASH(0x1e97b50)	"Slot D canale 2"
"Sortie alarme"	"Alarm output"	"Alarm Ausgang"	HASH(0x1e97d84)	"Uscita allerme"
"Sortie Analogique"	"Analog output"	"Analoger Ausgang"	HASH(0x1e97fb8)	"Uscita analogica"
"Sortie impulsion"	"Pulse output"	"Impuls Ausgang"	HASH(0x1e981ec)	"Uscita impulso"
"Sortie TOR"	"Binary output"	"Binärer Ausgang"	HASH(0x1e9bf44)	"Uscita digitale"
"Sortie"	"Output"	"Ausgang"	HASH(0x1e9c178)	"Uscita"
"Sous menu alarme"	"Sub menu alarm"	"Untermenü Alarm"	HASH(0x1e9c3ac)	"Sottomenu allarme"
"Sous menu client"	"Sub menu customer"	"Untermenü Benutzer"	HASH(0x1e9c5e0)	"Sottomenu cliente"
"Sous menu énergie"	"Sub menu energy"	"Untermenü Energie"	HASH(0x1e9c814)	"Sottomenu energia"
"Sous menu mesure"	"Measurement sub-menu"	"Untermenü Messung"	HASH(0x1e9ca48)	"Sottomenu misure"
"St"	"St"	"St"	HASH(0x1e9cc7c)	"St"
"Statut"	"Status"	"Status"	HASH(0x1ea0a4c)	"Stato"
"Synchro."	"Synchro."	"Synchro."	HASH(0x1ea0c80)	"Syncro"
"Tempo.(s)"	"Tempo.(s)"	"Tempo.(s)"	HASH(0x1ea0eb4)	"Tempo.(s)"
"Temps de fonctionnement"	"Operating time"	"Betriebszeit"	HASH(0x1ea10e8)	"Tempo di funzionamento"
"Temps d'intégration"	"Integration period"	"Integrationszeit"	HASH(0x1ea131c)	"Periodo d'integrazione"
"Temps présence courant"	"Current presence time"	"Präsenzzeit Strom"	HASH(0x1ea1550)	"Tempo presenza corrente"
"Temps présence tension"	"Voltage presence time"	"Präsenzzeit Spannung"	HASH(0x1ea1784)	"Tempo presenza tensione"
"Tension Ph-N"	"Voltage Ph-N"	"Spannung Ph-N"	HASH(0x1ea45ec)	"Tensione Ph-N"
"Tension Ph-Ph"	"Voltage Ph-Ph"	"Spannung Ph-Ph"	HASH(0x1ea4820)	"Tensione Ph.Ph"
"THD Courant"	"THD Current"	"THD Strom"	HASH(0x1ea4a54)	"Corrente THD"
"THD I1"	"THD I1"	"THD I1"	HASH(0x1ea4c88)	"THD I1"
"THD I2"	"THD I2"	"THD I2"	HASH(0x1ea4ebc)	"THD I2"
"THD I3"	"THD I3"	"THD I3"	HASH(0x1ea50f0)	"THD I3"
"THD Tension Ph-Ph"	"THD Voltage Ph-Ph"	"THD Spannung Ph-Ph"	HASH(0x1ea5324)	"Tensione THD Ph-Ph"
"THD U12"	"THD U12"	"THD U12"	HASH(0x1ea5558)	"THD U12"
"THD U23"	"THD U23"	"THD U23"	HASH(0x1ea92d8)	"THD U23"
"THD U31"	"THD U31"	"THD U31"	HASH(0x1ea950c)	"THD U31"
"THD V1"	"THD V1"	"THD V1"	HASH(0x1ea9740)	"THD V1"
"THD V2"	"THD V2"	"THD V2"	HASH(0x1ea9974)	"THD V2"
"THD V3"	"THD V3"	"THD V3"	HASH(0x1ea9ba8)	"THD V3"
"Tonalité"	"Tone"	"Signalton"	HASH(0x1ea9ddc)	HASH(0x1ea9e3c)
"TOR A1"	"BIN A1"	"BIN A1"	HASH(0x1ea9fec)	"BIN A1"
"TOR A2"	"BIN A2"	"BIN A2"	HASH(0x1eacd54)	"BIN A2"
"TOR B1"	"BIN B1"	"BIN B1"	HASH(0x1eacf88)	"BIN B1"
"TOR B2"	"BIN B2"	"BIN B2"	HASH(0x1ead1bc)	"BIN B2"
"TOR C1"	"BIN C1"	"BIN C1"	HASH(0x1ead3f0)	"BIN C1"
"TOR C2"	"BIN C2"	"BIN C2"	HASH(0x1ead624)	"BIN C2"
"TOR D1"	"BIN D1"	"BIN D1"	HASH(0x1ead858)	"BIN D1"
"TOR D2"	"BIN D2"	"BIN D2"	HASH(0x1eada8c)	"BIN D2"
"Type Cos phi T"	"Lead/lagg Cos phi T"	"Lead/lagg Cos phi T"	HASH(0x1eb17ec)	HASH(0x1eb184c)
"Type FPt"	"Lead/lagg PFt"	"Lead/lagg PFt"	HASH(0x1eb19fc)	HASH(0x1eb1a5c)
"Type"	"Type"	"Typ"	HASH(0x1eb1c0c)	"Tipo"
"U12"	"U12"	"U12"	HASH(0x1eb1e40)	"U12"
"U23"	"U23"	"U23"	HASH(0x1eb2074)	"U23"
"U31"	"U31"	"U31"	HASH(0x1eb22a8)	"U31"
"Unité"	"Unite"	"Einheit"	HASH(0x1eb24dc)	"Unito"
"V Terre"	"V Neutral"	"V Neutral"	HASH(0x1eb61cc)	"V Terra"
"V"	"V"	"V"	HASH(0x1eb6400)	"V"
"V1"	"V1"	"V1"	HASH(0x1eb6634)	"V1"
"V2"	"V2"	"V2"	HASH(0x1eb6868)	"V2"
"V3"	"V3"	"V3"	HASH(0x1eb6a9c)	"V3"
"VA"	"VA"	"VA"	HASH(0x1eb6cd0)	"VA"
"Valeur 1s"	"Value 1s"	"Wert 1s"	HASH(0x1eb6f04)	"Valore 1s"
"Valeur Max."	"Value Max."	"Wert Max."	HASH(0x1eb7138)	"Valore Max."
"Valeur"	"Value"	"Wert"	HASH(0x1ebaec8)	"Valore"
"var"	"var"	"var"	HASH(0x1ebb0fc)	"var"
"Variable"	"Variable"	"Variable"	HASH(0x1ebb330)	"Variabile"
"Variable(s)"	"Variable(s)"	"Variable(n)"	HASH(0x1ebb564)	"Variabile(i)"
"Version : "	"Release : "	"Version : "	HASH(0x1ebb798)	"Versione: "
"Version inconnue"	"Unknown version"	"Unbekannte Version"	HASH(0x1ebb9cc)	"Versione sconosciuta"
"Vide"	"Empty"	"Leer"	HASH(0x1ebbc00)	"Vuoto"
"Visualisation"	"Visualisation"	"Ansicht"	HASH(0x1ebe998)	"Visualizzazione"
"Vitesse %0 Bits/s "	"Speed %0 Bits/s "	"Geschwindigkeit %0 Bits/s "	HASH(0x1ebebcc)	HASH(0x1ebec2c)
"Voie 1"	"Channel 1"	"Kanal 1"	HASH(0x1ebeddc)	"Canale 1"
"Voie 2"	"Channel 2"	"Kanal 2"	HASH(0x1ebf010)	"Canale 2"
"Vous devez relancer le programme pour prendre en compte la modification\r\nVoulez-vous sortir du programme ?"	"You have to restart the software to take into account the modification\r\nDo you want to exit the software ?"	"Bitte starten Sie das Programm neu, um die Änderungen zu aktivieren."	HASH(0x1ebf244)	"Si deve resettare il software per rendere le modifiche effettive\r\nSi vuole procedere?"
"Vt"	"Vn"	"Vn"	HASH(0x1ebf478)	"Vn"
"W"	"W"	"W"	HASH(0x1ebf6ac)	"W"
'### ###  ###,# V'	'### ###  ###,# V'	'### ###  ###,# V'	HASH(0x1ec4564)	'### ###  ###,# V'
'###,# V'	'###,# V'	'###,# V'	HASH(0x1ec4798)	'###,# V'
'*.csv|*.csv|*.xls|*.xls|*.*|*.*'	'*.csv|*.csv|*.xls|*.xls|*.*|*.*'	'*.csv|*.csv|*.xls|*.xls|*.*|*.*'	HASH(0x1ec49cc)	'*.csv|*.csv|*.xls|*.xls|*.*|*.*'
'?'	'?'	'?'	HASH(0x1ec4c00)	'?'
'+### °'	'+### °'	'+### °'	HASH(0x1ec4e34)	'+### °'
'='	'='	'='	HASH(0x1ec5068)	'='
'0'	'0'	'0'	HASH(0x1ec529c)	'0'
'0,###'	'0,###'	'0,###'	HASH(0x1ec7f4c)	'0,###'
'0.'	'0.'	'0.'	HASH(0x1ec8180)	'0.'
'0.0'	'0.0'	'0.0'	HASH(0x1ec83b4)	'0.0'
'0.00'	'0.00'	'0.00'	HASH(0x1ec85e8)	'0.00'
